t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12
-4.74E-08,0.02320872561,-0.0013293,-0.0013293,-0.0428313375,-0.0290514,-0.0152714625,-0.0013293,-0.0152714625,-0.0013293,-0.0152714625,-0.0152714625,-0.0428313375,-0.0152714625
-4.68E-08,0.01494068751,-0.0013293,-0.0290514,-0.0152714625,-0.0152714625,-0.0290514,0.04017258,-0.0290514,-0.0013293,0.012450585,-0.0013293,-0.0428313375,0.026230575
-4.62E-08,0.01494068751,0.026230575,-0.0152714625,-0.0152714625,-0.0152714625,-0.0152714625,0.012450585,-0.0013293,-0.0013293,-0.0290514,-0.0013293,0.012450585,0.026230575
-4.56E-08,0.00667272438,-0.0290514,-0.0013293,-0.0152714625,-0.0013293,-0.0290514,-0.0152714625,-0.0152714625,-0.0152714625,0.04017258,-0.0428313375,0.012450585,-0.0152714625
-4.50E-08,0.01494068751,0.012450585,-0.0152714625,-0.0152714625,-0.0152714625,-0.056773374,-0.0290514,-0.0013293,-0.0290514,0.05395257,-0.0428313375,0.012450585,-0.0152714625
-4.44E-08,0.00667272438,0.012450585,-0.0290514,0.04017258,-0.0152714625,-0.0428313375,-0.0013293,-0.0013293,-0.0152714625,-0.0428313375,-0.0152714625,-0.0290514,0.012450585
-4.38E-08,0.01494068751,0.012450585,-0.0290514,-0.0428313375,-0.0152714625,0.026230575,0.026230575,-0.0152714625,-0.0152714625,0.012450585,-0.0013293,-0.0428313375,-0.0152714625
-4.32E-08,0.01494068751,-0.0013293,-0.0013293,-0.0013293,-0.0013293,-0.0152714625,-0.0428313375,-0.0290514,-0.0152714625,-0.0152714625,0.012450585,-0.0013293,-0.056773374
-4.26E-08,0.02320872561,-0.0152714625,-0.0013293,-0.0152714625,-0.0290514,-0.0013293,0.04017258,-0.0013293,-0.0152714625,-0.0152714625,0.012450585,-0.0013293,-0.0152714625
-4.20E-08,0.00667272438,-0.0152714625,-0.0013293,-0.0152714625,-0.0428313375,-0.0152714625,-0.056773374,-0.0013293,-0.0152714625,-0.0152714625,-0.0013293,0.012450585,-0.0152714625
-4.14E-08,0.02320872561,-0.0290514,-0.0152714625,-0.0290514,-0.0290514,-0.0290514,-0.0290514,0.026230575,-0.0152714625,-0.0428313375,-0.0428313375,-0.0290514,-0.0013293
-4.08E-08,0.00667272438,0.04017258,-0.0428313375,-0.0013293,-0.0013293,-0.0428313375,-0.0013293,0.012450585,-0.0290514,-0.0152714625,-0.0290514,0.012450585,-0.0290514
-4.02E-08,0.00667272438,-0.0152714625,0.026230575,-0.0013293,-0.0290514,0.012450585,-0.0290514,0.012450585,-0.0152714625,-0.056773374,-0.0152714625,0.012450585,-0.0013293
-3.96E-08,0.02320872561,-0.0152714625,-0.0290514,0.026230575,-0.0428313375,0.012450585,-0.056773374,-0.0152714625,-0.0013293,0.012450585,-0.0152714625,-0.0152714625,-0.0290514
-3.90E-08,0.01494068751,0.012450585,0.012450585,-0.0290514,0.012450585,-0.0152714625,-0.0152714625,-0.0013293,-0.0290514,-0.0428313375,-0.0290514,-0.0428313375,-0.0013293
